"","id","title","cartoonist","genre","last_episode","week_rank","week","star_point"
"178","131385","쿠베라","카레곰","스토리, 판타지",482,"21","thu","9.96"
"179","701700","트롤트랩","유비","스토리, 액션",140,"22","thu","9.95"
"180","748069","선의의 경쟁","송채윤 / 심재영","스토리, 드라마",24,"23","thu","9.94"
"181","570506","최강전설 강해효","최병열","스토리, 액션",380,"24","thu","9.64"
"182","758587","자취방 신선들","마로 / 강재건","스토리, 드라마",4,"25","thu","9.93"
"183","759475","헬프미","철준","에피소드, 스릴러",4,"26","thu","9.17"
"184","753222","시월드 판타지","진돌 / 히디","스토리, 판타지",15,"27","thu","9.90"
"185","715935","롤랑롤랑","자유","스토리, 판타지",111,"28","thu","9.98"
"186","748831","별을 삼킨 너에게","ARI","스토리, 로맨스",24,"29","thu","9.92"
"187","737032","셧업앤댄스","이은재","스토리, 드라마",57,"30","thu","9.97"
"188","731930","안개무덤","김태영","스토리, 스릴러",60,"31","thu","9.95"
"189","754873","스크립토리움","Song","옴니버스, 판타지",0,"32","thu","9.94"
"190","721459","날 가져요","로즈빈 / 원펀치래빗","스토리, 드라마",112,"33","thu","9.94"
"191","726091","오일머니","정하용 / 펜촉","스토리, 드라마",61,"34","thu","9.95"
"192","753307","우리는 요정!","억수씨","옴니버스, 감성",15,"35","thu","9.92"
"193","733033","로그아웃","임목원","옴니버스, 스릴러",68,"36","thu","9.81"
"194","733076","겟라이프","MOOHAK","스토리, 판타지",66,"37","thu","9.87"
"195","743270","집사레인저","현실안주형","스토리, 액션",38,"38","thu","9.92"
"196","670145","킬더킹","마사토끼 / joana","스토리, 드라마",248,"39","thu","9.64"
"197","738173","셈하는 사이","면지","스토리, 로맨스",52,"40","thu","9.97"
"198","742351","소녀180","나우원 / 델라","스토리, 드라마",40,"41","thu","9.95"
"199","754876","카루나","강호진","스토리, 판타지",10,"42","thu","9.85"
"200","724482","미드나잇 체이서","석재윤","스토리, 스포츠",89,"43","thu","9.69"
"201","751993","보물과 괴물의 도시","이을","스토리, 판타지",12,"44","thu","9.94"
"202","736928","스테어스","옹구","스토리, 판타지",56,"45","thu","9.53"
"203","739439","손아귀","황정훈","스토리, 스릴러",46,"46","thu","9.93"
